25 25
#########################
#              #        #
#              #    !   #
#              #        #
#              ##   #####
#                       #
#              !        #
#                       #
#                       #
#                       #
#         #   #         #
###########   ###########
#         #   #         #
#       @               #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#             ###       #
#               #       #
#               #       #
#               #       #
#########################
