25 25
#########################
#                       #
#                       #
#                       #
#                       #
#                       #
#              !        #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#       @               #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#                       #
#########################
